model_id,mae,rmse,mse,rmsle,mean_residual_deviance
GBM_4_AutoML_1_20260313_181953,0.0097413605255373,0.0244302525447605,0.0005968372394007807,,0.0005968372394007807
GBM_1_AutoML_1_20260313_181953,0.0104708481359336,0.0283206708826872,0.00080206039924549,,0.00080206039924549
GBM_2_AutoML_1_20260313_181953,0.0120500490187445,0.025604451545061,0.0006555879389233806,,0.0006555879389233806
GBM_3_AutoML_1_20260313_181953,0.012162471329369,0.0263457435418622,0.000694098202773577,,0.000694098202773577
DRF_1_AutoML_1_20260313_181953,0.0200215498921923,0.0421191876630609,0.0017740259693961,,0.0017740259693961
