model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
WeightedEnsemble,-0.20002548343477192,-0.1853287060794086,0.6128098964691162,2.7407010379683925,0.07766116700076964,7
RecursiveTabular,-0.21387425192815232,-0.21066156193287777,0.27368712425231934,0.26993799209594727,22.52311110496521,3
DirectTabular,-0.22736150191550455,-0.1976080890923771,0.20777201652526855,0.20098185539245605,20.689855098724365,4
SeasonalNaive,-0.2571589943416807,-0.2450752510248686,0.01764082908630371,0.7435357570648193,1.0930376052856445,1
Theta,-0.9214880524338191,-1.0342952295923842,0.11303091049194336,1.525609016418457,0.4717090129852295,6
Naive,-3.088175937266821,-3.0689529883507354,0.01733088493347168,0.745502233505249,0.7718946933746338,2
ETS,-8.556353835960671,-13.927071810426396,1.8517990112304688,1.0453312397003174,1.4517326354980469,5
