,MAE,RMSE,MAPE,R2
TS1,0.24684739038600517,0.3444194096414901,564.0678085837017,0.6833611557948349
TS10,0.43302119946277146,0.5490170814378598,88.10519017701759,0.7525943815897866
TS11,0.19702942607901155,0.31953063462780223,242.2304043968473,0.48062248075550895
TS12,0.17765042827662553,0.2834779159315094,63.77292947848879,0.548302915780573
TS2,0.22498759824651401,0.2923937543448488,175.57036858722506,0.82731900548292
TS3,0.5542637456337823,0.7908383705380836,142.09688593610466,0.47363867203285215
TS4,0.3012692450394661,0.42619636985087955,198.1781600957571,0.7487155579662909
TS5,0.29778039899798925,0.38445006493058925,715.0178407195581,0.6329869015309508
TS6,0.2698145598407512,0.34644250104894464,464.94331301528024,0.7138040011456165
TS7,0.18114888423707887,0.25520286424955607,39.83725471209861,0.9376550026378782
TS8,0.17425700492078175,0.24901368169849875,42.70307945234583,0.9474117622496137
TS9,0.3806142636674863,0.52276986467055,230.55914162234677,0.4406466878297912
