series,start,end,length,score,mean_attr
TS1,52020,52023,3,0.4912978937251762,0.7912978937251762
TS1,21479,21482,3,0.4818214947032512,0.7818214947032512
TS1,21488,21491,3,0.47790718417355305,0.7779071841735531
TS1,35,38,3,0.33003775997169316,0.6300377599716932
TS1,17716,17719,3,0.27659312463548946,0.5765931246354895
TS1,17736,17739,3,0.2325472044775757,0.5325472044775758
TS1,12341,12344,3,0.18589623775243685,0.4858962377524369
TS1,52017,52020,3,0.13948642374841724,0.4394864237484173
TS10,2180,2183,3,0.4746352241457371,0.7746352241457372
TS10,60730,60733,3,0.45315495133393724,0.7531549513339373
TS10,52021,52024,3,0.4305168258091723,0.7305168258091723
TS10,46063,46066,3,0.4061738334536894,0.7061738334536894
TS10,47989,47992,3,0.39900421904820305,0.6990042190482031
TS10,9107,9110,3,0.36385647643038255,0.6638564764303826
TS10,46072,46075,3,0.36091681569028167,0.6609168156902817
TS10,17830,17833,3,0.35469387359377935,0.6546938735937794
TS11,6289,6292,3,0.47444689357809156,0.7744468935780916
TS11,6286,6289,3,0.4520498992886305,0.7520498992886305
TS11,32144,32147,3,0.324742939735583,0.624742939735583
TS11,49507,49510,3,0.31306916082329395,0.613069160823294
TS11,23245,23248,3,0.3066441402379997,0.6066441402379997
TS11,57535,57538,3,0.2715105643415676,0.5715105643415677
TS11,6283,6286,3,0.2579539131268397,0.5579539131268397
TS11,37693,37696,3,0.23835265934594108,0.5383526593459411
TS12,11395,11398,3,0.4579195155164294,0.7579195155164294
TS12,17416,17419,3,0.44872942369841284,0.7487294236984129
TS12,57530,57533,3,0.44234514466385055,0.7423451446638506
TS12,57533,57536,3,0.3925137967348712,0.6925137967348712
TS12,35573,35576,3,0.3547175714934616,0.6547175714934617
TS12,35644,35647,3,0.35300859101493,0.65300859101493
TS12,17717,17720,3,0.3430860767336702,0.6430860767336702
TS12,45442,45445,3,0.3274729857707992,0.6274729857707992
TS2,52020,52023,3,0.4671867069160268,0.7671867069160269
TS2,34,37,3,0.4624101289353957,0.7624101289353957
TS2,21479,21482,3,0.4258293976910592,0.7258293976910593
TS2,21488,21491,3,0.4238604368123886,0.7238604368123887
TS2,43871,43874,3,0.34017441815879557,0.6401744181587956
TS2,22393,22396,3,0.3337920748483938,0.6337920748483938
TS2,59711,59714,3,0.2916576720065943,0.5916576720065944
TS2,17716,17719,3,0.2819730240370536,0.5819730240370536
TS3,19718,19721,3,0.6749483952191361,0.9749483952191361
TS3,3073,3076,3,0.6079645023917986,0.9079645023917986
TS3,60436,60439,3,0.6034015170473743,0.9034015170473744
TS3,9176,9179,3,0.5932073979745371,0.8932073979745372
TS3,14668,14671,3,0.5877614163215438,0.8877614163215438
TS3,13234,13237,3,0.5742859692758883,0.8742859692758883
TS3,15773,15776,3,0.5379390010967643,0.8379390010967643
TS3,9089,9092,3,0.5370141686284267,0.8370141686284267
TS4,22392,22395,3,0.5010555706641522,0.8010555706641522
