covariate,MAE_increase
TS2,0.19967181856684216
TS6,0.10798951100608019
TS4,0.03742505215296489
TS10,0.0013467299122420506
TS5,-2.786627174241237e-05
TS9,-0.0004962709247088257
TS7,-0.0012613406565208235
TS3,-0.0021514217533455345
TS12,-0.005046497661549322
TS8,-0.0053026566434087735
TS11,-0.009677254834074408
