feature,AUC
lag_288,0.5209167394958484
hour_sin,0.5725195336053944
roll_mean_12,0.4978940331684193
day_of_week,0.4140168693228598
lag_1,0.4892119448294755
hour,0.5250195224390803
roll_min_12,0.3694224261273883
step,0.42510706634130513
hour_cos,0.5807540388557952
is_weekend,0.4983453383616486
TOTAL,0.5022548510190379
