Model,ROC-AUC,PR-AUC,F1,Precision,Recall
All SHAP (110),0.8657913356704081,0.04675317338362776,0.13333333333333333,0.08673469387755102,0.288135593220339
Mean |SHAP| (11),0.8885311806515935,0.2762066976210936,0.515625,0.4782608695652174,0.559322033898305
Rashomon σ (12),0.7755057408419901,0.04221642471909999,0.10526315789473684,0.23529411764705882,0.06779661016949153
Mean + Rashomon (23),0.8291094458559805,0.05308197798872567,0.0625,0.4,0.03389830508474576
All Combined (133),0.6507019264786286,0.008328610136123684,0.018944519621109608,0.010294117647058823,0.11864406779661017
