feature,shap_anom,shap_norm,ratio,cohens_d,p_value,r_pb,rash_anom,rash_norm,rash_d,rash_p
TS2,0.3518841330548156,0.39525352166946526,0.8902745042435883,-0.21255498554703767,2.856650390158856e-05,-0.026573498328940844,0.14302368867299706,0.13129974270241818,0.2953940824714298,5.068995221371517e-09
TS3,0.014349253289436101,0.010591493345831223,1.3547903794967608,0.4882181488566135,1.2200898330307432e-17,0.06762578751133916,0.015756290390217396,0.012520035723486062,0.33149319102510333,3.932249008704931e-09
TS4,0.02353346791779371,0.01836003528798082,1.2817768347754548,0.3894082208547739,2.635955577564308e-11,0.0577859472516595,0.02243354316604083,0.016634325187258346,0.4074049318263299,1.1039019973823454e-10
TS5,0.028087613010865282,0.023121966174237764,1.214758848759159,0.292595229337134,1.6459859240430894e-06,0.049432079156417355,0.07842504911628743,0.06646505646991567,0.22328987643909978,0.00034885695115347064
TS6,0.5641708412289108,0.557526301242004,1.0119178951237005,0.023794553948227767,0.6300001094215881,0.0029232291411849572,0.11317815235657101,0.09174045289840048,0.37291899550860286,4.295834536316287e-13
TS7,0.005003752272671017,0.004642176833843338,1.07788919978051,0.10149633488961016,0.029113356181168278,0.011810495392959794,0.02420026651199004,0.022928329934468625,0.09305998587264759,0.09048614358338648
TS8,0.007449238873352723,0.007110479465172379,1.0476422736103255,0.055642163455151564,0.2687914283208722,0.006960080140842099,0.00996290600323328,0.009501069299429182,0.08942687399527685,0.10143890101835486
TS9,0.004665152422366205,0.0032578152647748508,1.4319880174938697,0.30104568238303053,3.6512616161634494e-07,0.04695723079777032,0.004333245137161734,0.003318640552293439,0.32181016830872855,2.1791312208577006e-08
TS10,0.006210058403414164,0.004237734276200358,1.465419490384431,0.4141123043829568,2.41093507071308e-13,0.05759092430646121,0.01846479011025426,0.014133240204144354,0.3854598974103928,4.549626156621177e-11
TS11,0.009436546829129403,0.012964963107412852,0.7278498790123019,-0.41650351568934646,1.4596082966916845e-18,-0.047539762163512814,0.015302221345736947,0.017358333950330863,-0.17582810408319974,0.00029474609537284235
TS12,0.012104958272592071,0.019699880110672495,0.6144686264376887,-0.45563867114439827,9.192717783930476e-47,-0.04353865690010834,0.019254603274592268,0.022793350724672937,-0.2676130565355924,3.344962523982373e-11
