feature,importance
rashomon_σ_TS4,62746.27326162177
rashomon_σ_TS10,55827.555741489145
rashomon_σ_TS8,40921.00861241289
rashomon_σ_TS7,39970.48234408477
rashomon_σ_TS5,39132.26289879886
rashomon_σ_TS12,33762.213908672486
rashomon_σ_TS11,31644.563614488594
total_rashomon_σ,28508.28639031801
rashomon_σ_TS3,26944.80300458065
rashomon_σ_TS9,22721.148650760137
rashomon_σ_TS2,21172.520565486764
rashomon_σ_TS6,16021.35349712432
