metric,value
ROC-AUC,0.759915415045187
PR-AUC (AP),0.015676996078168637
Best F1,0.041044776119402986
Best Threshold,0.18000000000000002
Precision,0.02130406714009038
Recall,0.559322033898305
TP,33.0
FP,1516.0
FN,26.0
TN,9024.0
