time,TS2,TS6,TS4,TS10,TS5,TS9
2021-07-31 00:00:00,0.07202270135960798,0.060604590753262716,0.007263816554437974,-0.009622605009512453,0.042768890546126814,0.0
2021-07-31 00:05:00,0.04132425852797249,0.0348354039544409,0.010295578363266888,-0.006751280658963021,0.012789602476087514,0.0
2021-07-31 00:10:00,-0.014332648028026918,0.042912250215356995,0.0032553294334899396,-0.005266180685297994,0.014927908439527876,0.0
2021-07-31 00:15:00,0.0005107613449746862,0.02251399340192703,-0.0005670839243314546,-0.005278115838088765,0.006024190605702723,0.007865481755950227
2021-07-31 00:20:00,-0.06207156308333982,0.03061530956024812,0.008462302725423462,-0.0027342337098988645,0.00018586197190664094,0.007716290652751923
2021-07-31 00:25:00,-0.022596893620423292,0.045851386406204925,-0.003790723625570532,-0.011811376083642241,0.005177588202059269,0.004801675804298036
2021-07-31 00:30:00,-0.05307313084945648,0.01575365568929886,-0.008167593512222411,0.014683385120489133,0.006929247444449262,-5.3542614337355465e-05
2021-07-31 00:35:00,-0.04766627948265523,0.018495808133262792,-0.0001963207773356332,0.013604121737774796,0.0021356596632606598,-8.162629621277784e-06
2021-07-31 00:40:00,-0.06936583672226829,0.02696288034150547,-0.005921413235641493,0.01686852095140652,0.0029556792737408105,0.002333938546309422
2021-07-31 00:45:00,-0.09426033911718565,-0.0026017315685749054,-0.00206547332080928,0.0055640386417508125,0.0029419141567565976,0.0034757141362536936
2021-07-31 00:50:00,-0.0762255609853045,0.010472664270888665,0.006493440913883125,0.012252395125952664,0.0,0.003215046768838714
2021-07-31 00:55:00,-0.09854069737643428,-0.002397558228536101,-0.0012467386709018036,0.011713474650274558,-0.00012596036222850548,0.005289853973822145
2021-07-31 01:00:00,-0.08180455939674919,0.001561721956188089,0.008362724022431822,0.015499224716966853,0.001614310524680418,0.0018579934469677983
2021-07-31 01:05:00,-0.1146152890710668,-0.0001992830498651621,0.00021178715608338727,0.01379545507105917,-0.000604038888757874,0.002281076528809267
2021-07-31 01:10:00,-0.1516887692903931,0.0,0.003448519178412157,0.010248366404663423,-0.002330046824433607,0.0022705464877864623
2021-07-31 01:15:00,-0.12809575128961698,-0.0007716220888224767,0.003396071154962821,0.013984889130700673,0.000144272365353304,0.009205353530970461
