feature,shap_anom_mean,shap_norm_mean,ratio,cohens_d,t_stat,p_value,point_biserial_r,pb_p_value,rashomon_anom,rashomon_norm,rashomon_p
TS12,0.006843138657591613,0.012379057623157125,0.5527996448445609,-0.4091705729840922,-14.281548419225327,7.220957541945438e-39,-0.03916985977262914,1.7934914961278e-10,0.0037317075036466256,0.0037275335727158386,0.9744879600020434
TS11,0.005332272748783265,0.007470392449504704,0.7137874997633895,-0.4542188598256399,-9.372626082818039,4.2118311482985183e-19,-0.05476913220679714,4.60549286568165e-19,0.004898309004046374,0.006305531429067736,5.589040366138858e-16
TS5,0.01145278703488348,0.00612486899145044,1.8698827764104269,0.5438117629883739,8.796774033271411,3.8219993404541604e-17,0.09939356958363225,3.744882845891902e-59,0.004953980448434679,0.00399782227149887,2.5450669358730232e-05
TS3,0.009294461812325763,0.006108717976324189,1.5215077612600048,0.4911957243121703,8.092706162695027,6.509881790814832e-15,0.08484260728535256,1.5754330688597198e-43,0.004473294376306237,0.003338904541609255,3.260866629368996e-08
TS9,0.004835480164536933,0.003139050143109201,1.5404278186354274,0.36663890264576543,6.486745856880496,2.482402029457682e-10,0.05385598005303639,1.7488302334042926e-18,0.0022390536804506866,0.001601275755346115,1.5487225430169426e-06
TS10,0.010588836146460775,0.007050225733699181,1.501914484219631,0.34897681941491826,5.928235091502092,6.433065892809219e-09,0.05575302289895627,1.0671010768684155e-19,0.003293314735818908,0.002266839061692765,3.846862717541848e-05
TS4,0.016628114295887075,0.013244056050250426,1.2555152464469268,0.3033350844518569,5.387770796970524,1.1935980880071647e-07,0.04426433881359276,5.662914790271577e-13,0.005918271068393754,0.005366574737073582,8.333596151753237e-05
TS2,0.3181337832797043,0.3317745020774728,0.9588855722415244,-0.07827808990045862,-1.5640337460808684,0.11855620896331452,-0.009750672163501497,0.11248151217592517,0.03147880530522555,0.03160827324462455,0.874147546016101
TS8,0.009824361011802682,0.009562728933816354,1.0273595622961902,0.0380014050350584,0.8063577126005549,0.4204853462242242,0.004480139984408823,0.4658621083108156,0.005176804126590674,0.004260988987027394,5.6073184583029613e-08
TS6,0.5948464384321499,0.5923748297051243,1.0041723729690808,0.00833978713398227,0.17357245090674245,0.862283935295889,0.00099943809411844,0.870772898531381,0.010595835991966939,0.009142916083727618,7.361457292114627e-06
TS7,0.005828138197127357,0.005796723599399801,1.005419371337769,0.004349754552717953,0.08528270512531143,0.9320770189964784,0.0005529046851149044,0.9282909263279204,0.0041085174628794265,0.004193860717434093,0.6935087295002034
