,top_variable,importance
2021-04-29 01:00:00,TS1,0.00023462741228151646
2021-04-29 02:00:00,TS1,0.00017574975985884132
2021-04-29 03:00:00,TS1,1.3268870685604143e-05
2021-04-29 04:00:00,TS1,1.1684292717521973e-05
2021-04-29 05:00:00,TS1,1.7173586745544996e-06
2021-04-29 06:00:00,TS1,4.248379427152754e-07
2021-04-29 07:00:00,TS1,1.5913442473630947e-07
2021-04-29 08:00:00,TS1,4.916355472620301e-07
2021-04-29 09:00:00,TS1,2.663493039711632e-06
2021-04-29 10:00:00,TS1,0.0001533772579092137
2021-04-29 11:00:00,TS1,0.000837111440656095
2021-04-29 12:00:00,TS1,0.00048157669861301325
2021-04-29 13:00:00,TS1,0.0003405783740829977
2021-04-29 14:00:00,TS1,0.00010258217660629361
2021-04-29 15:00:00,TS1,0.0001400592760842827
2021-04-29 16:00:00,TS1,0.00011697350020146645
2021-04-29 17:00:00,TS1,2.8282813256543554e-05
2021-04-29 18:00:00,TS1,2.1374525297462665e-05
2021-04-29 19:00:00,TS1,6.540151703033454e-06
2021-04-29 20:00:00,TS1,3.919744894384499e-06
2021-04-29 21:00:00,TS1,2.4655355117088362e-06
2021-04-29 22:00:00,TS1,2.122482196393413e-06
2021-04-29 23:00:00,TS1,5.8903897138800865e-05
2021-04-30 00:00:00,TS1,0.001245860957830078
2021-04-30 01:00:00,TS1,0.003793323291913911
2021-04-30 02:00:00,TS1,0.0018509023789945467
2021-04-30 03:00:00,TS1,0.0004689200968295588
2021-04-30 04:00:00,TS1,0.00022645727955437333
2021-04-30 05:00:00,TS1,5.093751902374228e-05
2021-04-30 06:00:00,TS1,1.809256909176718e-05
2021-04-30 07:00:00,TS1,9.20676937817989e-07
2021-04-30 08:00:00,TS1,8.971705565610736e-06
2021-04-30 09:00:00,TS1,4.75803463260828e-05
2021-04-30 10:00:00,TS1,0.0003820030678628826
2021-04-30 11:00:00,TS1,0.0031601767751545332
2021-04-30 12:00:00,TS1,0.007021035225742381
2021-04-30 13:00:00,TS1,0.006626309872315157
2021-04-30 14:00:00,TS1,0.002881562665133124
2021-04-30 15:00:00,TS1,0.0005121917431889382
2021-04-30 16:00:00,TS1,0.002277598779409812
2021-04-30 17:00:00,TS1,0.0004481626766818486
2021-04-30 18:00:00,TS1,0.00015075649195069323
2021-04-30 19:00:00,TS1,0.00019321920863892895
2021-04-30 20:00:00,TS1,0.00013124206243866473
2021-04-30 21:00:00,TS1,9.563771151309159e-05
2021-04-30 22:00:00,TS1,0.00032163355846584143
2021-04-30 23:00:00,TS1,0.00042900414176901095
