time,TS2,TS3,TS4,TS5,TS6,TS7,TS8,TS9,TS10,TS11,TS12
2021-05-01 00:00:00,-0.14458707,0.018113576,0.015041891,0.015115149,0.41306695,-0.009896084,0.0073586223,-0.0068317694,-0.010323041,0.0020325365,-0.012365956
2021-05-01 00:05:00,0.08089124,0.020162906,0.006344309,0.0030877779,0.04412832,-0.006095068,0.013508065,-0.002698869,-0.006681213,-0.0051923166,-0.0124637745
2021-05-01 00:10:00,0.05189315,-0.00982051,0.03428114,0.0017577615,0.02036136,-0.011734869,0.0064044464,0.00020328508,-0.005334973,0.0017875796,-0.017057382
2021-05-01 00:15:00,-0.34252664,-0.00873111,0.022509437,0.018236583,0.56797594,-0.013767119,0.01167062,-0.010187844,-0.022909358,0.0147751225,-0.021235637
2021-05-01 00:20:00,-0.08975197,0.009807774,0.009530195,-0.00018901007,0.1087925,-0.0066243815,0.01110092,-0.014431575,-0.016097989,0.01832504,-0.010732954
2021-05-01 00:25:00,-0.061087023,0.008759167,0.015019997,-0.0057757003,0.022525016,-0.016623426,-0.00044234024,-0.0140486155,-0.018786551,0.014795856,-0.008336416
2021-05-01 00:30:00,-0.13421206,0.004783968,0.002008175,-0.0016458943,0.10726229,-0.0057952334,0.012943929,0.018621355,-0.00019451024,0.019811269,0.0031724686
2021-05-01 00:35:00,-0.08663482,0.0047532027,0.0131306285,0.0029475696,0.020082531,-0.0077228546,0.0054156785,0.018491218,0.004924087,0.015913477,-0.00031696213
2021-05-01 00:40:00,-0.12716629,-0.0025360982,0.018400652,-0.023597341,0.0028729655,-0.009457811,0.0072808806,0.015751788,0.0011381708,0.01589308,0.0016652766
2021-05-01 00:45:00,-0.15071595,-0.0030988436,0.023690267,-0.015642814,-0.044596076,-0.011757027,0.005765392,0.0037828127,0.029290166,0.022056412,-0.01236203
2021-05-01 00:50:00,-0.19812721,-0.016123468,0.015999664,-0.011289709,-0.04345212,-0.010141947,-0.003974399,0.0037538246,0.03066105,0.020843184,-0.009197695
2021-05-01 00:55:00,-0.15194963,-0.016677404,0.029790819,-0.01958299,-0.013466502,-0.011476076,-0.0012893312,0.011152871,0.040458757,0.01764995,-0.018227482
2021-05-01 01:00:00,-0.16566461,0.015186905,0.003233995,-0.013297922,-0.040023305,-0.010600075,0.0051857578,-0.00028980876,0.001041352,0.006182187,-0.014060858
2021-05-01 01:05:00,-0.2325672,0.01384612,0.016977122,-0.02020348,-0.03860575,-0.010746576,0.013203381,-0.00059583655,-9.059468e-05,0.005838578,-0.011123975
2021-05-01 01:10:00,-0.27120438,-0.004412187,0.015948117,-0.00465818,-0.037878886,-0.011472158,0.017250242,0.00045940056,0.00032729443,0.0074235485,-0.008797011
2021-05-01 01:15:00,-0.30353135,-0.0045565846,0.015315714,-0.019728253,-0.12143341,-0.0085203955,0.015986953,-0.007880691,-0.005176754,0.014075136,-0.0073536946
2021-05-01 01:20:00,-0.33927995,-0.0043700044,0.012681511,-0.01749649,-0.09641891,-0.0072061876,0.022412984,-0.007956201,-0.0045675994,0.01374378,-0.005958064
2021-05-01 01:25:00,-0.26747617,-0.0045015686,0.011987489,-0.01045696,-0.20147218,-0.008097531,0.019780638,-0.008121172,-0.004925321,0.013330669,-0.008054324
2021-05-01 01:30:00,-0.3510326,0.012522502,0.014951594,-0.015625449,-0.09849902,-0.0110283755,0.01266717,0.0020924904,0.00023889945,0.013817597,-0.0142308
2021-05-01 01:35:00,-0.41735166,0.011988786,0.008954942,-0.021437697,-0.04666002,-0.0106074875,0.03199745,0.0015361801,-0.0016265817,0.018992597,-0.015611514
2021-05-01 01:40:00,-0.40604106,0.00080397853,0.013068516,-0.025464185,-0.08452964,-0.01190766,0.023590334,0.0036597776,0.0011697002,0.016395742,-0.011464033
2021-05-01 01:45:00,-0.2876176,0.0012578419,0.018610084,-0.022895124,-0.35924256,-0.01380637,0.022333274,-0.009071409,0.00020991653,0.020187778,-0.016656527
2021-05-01 01:50:00,-0.27077106,0.0025509181,0.007882142,-0.020366449,-0.3858405,0.0021570085,0.017400298,-0.0066732448,0.0021541622,0.019853154,-0.017124511
2021-05-01 01:55:00,-0.463029,0.0018650829,0.01078844,-0.024521435,-0.10470464,-0.011937511,0.02245238,-0.0071026897,0.0033734916,0.018886812,-0.017976454
2021-05-01 02:00:00,-0.47793028,-0.0023226878,0.025233233,-0.016231606,-0.11983635,-0.011309901,0.030967783,0.008377982,-0.0025545787,0.02508731,-0.034455832
2021-05-01 02:05:00,-0.51659274,-0.003307758,0.009398432,-0.022024984,-0.13065253,-0.005949015,0.026539834,0.00774732,-0.0039736396,0.020947449,-0.01961682
2021-05-01 02:10:00,-0.4426575,0.01132255,0.0038483297,-0.011259618,-0.22977732,-0.006952606,0.017896717,0.0059583425,-0.0047141705,0.019450298,-0.0209105
2021-05-01 02:15:00,-0.4525587,0.016144592,0.0063342717,-0.00024075148,-0.2546081,-0.0033178462,0.022135783,-0.005621529,-0.005646208,0.0051270784,-0.008311007
2021-05-01 02:20:00,-0.46885026,-0.006314151,0.011151484,-0.006912315,-0.26043302,-0.0036761772,0.024717182,-0.0069882623,-0.0054549384,0.007982932,-0.006998632
2021-05-01 02:25:00,-0.33169565,-0.0034450998,-0.008113487,-0.011865627,-0.44657788,-0.011156702,0.014205042,-0.004952095,-0.0037190472,0.008522011,-0.009464227
2021-05-01 02:30:00,-0.36243775,0.0040737917,0.0053687356,-0.013403388,-0.4224524,-0.0074947267,0.019780895,8.8042936e-05,-0.0083105555,0.017769763,-0.017054481
2021-05-01 02:35:00,-0.3543541,0.005270957,0.023882871,-0.012069569,-0.43749258,-0.009113395,0.02752589,0.0015002105,-0.00809796,0.016046884,-0.017276747
2021-05-01 02:40:00,-0.36491564,0.006697034,0.0047268267,-0.012458341,-0.44560924,-0.0074679623,0.017703682,0.00010875503,-0.007833773,0.017126812,-0.015662035
2021-05-01 02:45:00,-0.3581385,0.0055534067,0.00091019,-0.017445488,-0.47044447,-0.010739534,0.016515281,-0.00017499425,-0.0054676314,0.006502396,-0.014676471
2021-05-01 02:50:00,-0.3743078,0.011756416,0.0063362583,-0.017955452,-0.47967908,-0.011855718,0.018118735,0.0012803366,-0.0058313273,0.005298402,-0.014669616
2021-05-01 02:55:00,-0.38280225,0.014034614,0.0018550557,-0.008817286,-0.47967464,-0.006678473,0.016840316,0.0029417605,-0.0055722175,0.004924846,-0.013098995
2021-05-01 03:00:00,-0.39735967,0.01202386,0.025464945,-0.015781865,-0.40846133,-0.005883751,0.029562289,-0.0005703973,-0.0032660225,0.010880686,-0.018925257
2021-05-01 03:05:00,-0.39964265,0.00881452,0.0075159897,-0.015513778,-0.452473,-0.0050201677,0.02407619,0.00010104743,-0.0022403875,0.007630204,-0.008491948
2021-05-01 03:10:00,-0.4202418,0.009692106,0.0006063468,-0.017104477,-0.4879351,-0.0036713192,0.019240437,0.00021334151,-0.0035864452,0.0081455745,-0.00642016
2021-05-01 03:15:00,-0.45707512,0.013896225,0.0036192671,-0.020217024,-0.44933406,-0.0049362583,0.021958657,-0.0058579403,-0.0021386482,0.01744363,0.0031743965
2021-05-01 03:20:00,-0.4487461,0.0082504535,0.008407102,-0.018143902,-0.5062289,-0.0009195368,0.020863535,-0.0044833426,-0.0019084245,0.019538423,0.0024237654
2021-05-01 03:25:00,-0.4473095,0.0084257815,0.0087706195,-0.018118078,-0.5032613,-0.0025668566,0.020297118,-0.0039496473,-0.0032906574,0.019279147,0.0007763777
2021-05-01 03:30:00,-0.42878625,0.008451153,0.005327514,-0.01846185,-0.5453936,-0.0025921909,0.018141793,-0.0019522564,-0.00442466,0.020062875,0.0048700515
2021-05-01 03:35:00,-0.42715204,0.008627399,0.0027656078,-0.01672961,-0.55993664,-0.0027505704,0.017039146,-0.0019802903,-0.004327317,0.019590091,0.006145539
2021-05-01 03:40:00,-0.43271324,0.009709034,-0.0024490994,-0.016380597,-0.54767454,-0.0026260056,0.015894605,-0.0017685365,-0.0036474315,0.019451365,0.0051912162
2021-05-01 03:45:00,-0.4291579,0.00885638,0.0091887,-0.014848369,-0.54747945,-0.0010654181,0.021382634,0.0011631587,-0.005375901,0.0062701153,-0.010759502
2021-05-01 03:50:00,-0.38801718,0.0092435535,0.008446074,-0.013309749,-0.60348517,-0.0008961462,0.021255407,0.0011269961,-0.0052211066,0.0068181446,-0.0112352045
2021-05-01 03:55:00,-0.39926764,0.009065291,0.008565596,-0.014222089,-0.58823204,-0.0010614832,0.021315068,0.0010903031,-0.005145945,0.006728138,-0.011228572
2021-05-01 04:00:00,-0.3836048,0.0044067237,-0.011262821,-0.014500866,-0.62225723,-0.0015499063,0.019137716,-0.0008221017,-0.0033357223,0.018687697,0.0048981607
2021-05-01 04:05:00,-0.39743307,0.0044153025,-0.00956538,-0.015095079,-0.6234587,-0.0013052772,0.018153382,-0.0009018592,-0.0032401273,0.018445544,0.0047821812
2021-05-01 04:10:00,-0.4034284,0.0062970202,-0.009823897,-0.0152121065,-0.6240069,-0.0014159251,0.018088358,-0.00079290883,-0.0032916656,0.01788974,0.005395649
2021-05-01 04:15:00,-0.40370902,0.008065543,-0.0093343565,-0.013861627,-0.63240457,-0.0014483908,0.018255418,-0.0037525354,-0.0042606485,0.017444812,1.843661e-05
2021-05-01 04:20:00,-0.436426,0.006390857,-0.0070226016,-0.0151495775,-0.6056758,-0.00222148,0.01539559,-0.0036921601,-0.0043026675,0.017461114,-0.001027667
2021-05-01 04:25:00,-0.40658575,0.006242833,-0.010205815,-0.013520865,-0.62810075,-0.00079320784,0.018639058,-0.0036229512,-0.0042808894,0.017641557,-0.00030118314
2021-05-01 04:30:00,-0.4129524,0.0048828577,-0.010120229,-0.014714879,-0.6282644,-0.0009869932,0.01698505,-0.002463511,-0.004335817,0.018515004,0.0054327403
2021-05-01 04:35:00,-0.42449358,0.005040369,-0.010638574,-0.014648133,-0.6349847,-0.0009373485,0.0172885,-0.0024265554,-0.0041806134,0.018600434,0.005349707
2021-05-01 04:40:00,-0.42229334,0.0055795806,-0.010233391,-0.013663505,-0.6393145,-0.0011665493,0.017173503,-0.002511891,-0.004235259,0.018734796,0.0052455226
2021-05-01 04:45:00,-0.41633672,0.0047677257,-0.013621518,-0.011338989,-0.6425192,-0.0011456691,0.020568289,-0.0017062308,-0.004607958,0.0069869077,0.004740404
2021-05-01 04:50:00,-0.40875512,0.0061958535,-0.016502745,-0.014016716,-0.6604673,-0.0015056286,0.02034269,-0.0017325284,-0.0046365387,0.006597661,0.00542653
2021-05-01 04:55:00,-0.41544476,0.006245212,-0.0112501485,-0.011107956,-0.65927696,-0.0017253025,0.020083059,-6.568578e-05,-0.0043923133,0.0066712257,0.0039130733
2021-05-01 05:00:00,-0.41860545,0.004699986,-0.017930275,-0.013067098,-0.66601187,-0.0008655679,0.016947908,-0.0005395371,-0.003676262,0.01765623,0.0040901834
2021-05-01 05:05:00,-0.4233342,0.004840316,-0.017460663,-0.012596894,-0.65664417,-0.00088711624,0.017257381,-0.00081597635,-0.0030737137,0.017657053,0.0041128295
2021-05-01 05:10:00,-0.40474093,0.00648341,-0.016273646,-0.013888563,-0.6789246,-0.0007204733,0.017099056,-0.00037924445,-0.003676685,0.017193185,0.004054016
2021-05-01 05:15:00,-0.42428684,0.0067488984,-0.012514224,-0.014276961,-0.6692943,-0.0024405743,0.016898729,-7.529222e-05,-0.004363401,0.016517755,0.00091706903
2021-05-01 05:20:00,-0.4384863,0.0053319884,-0.00826713,-0.014174971,-0.6591087,-0.0020555903,0.01675312,-0.00012794546,-0.004638014,0.016952194,0.0005092133
2021-05-01 05:25:00,-0.42093304,0.0052918685,-0.014171005,-0.0127743,-0.6649936,-0.00096367946,0.017404929,-0.00015616447,-0.004341749,0.016962055,0.0014452258
2021-05-01 05:30:00,-0.44133455,0.0042759534,-0.008028099,-0.014978059,-0.66683835,-0.0025653627,0.017014723,5.2022726e-05,-0.0037933069,0.018354416,0.0010913588
2021-05-01 05:35:00,-0.4245818,0.004261913,-0.010379217,-0.0135821635,-0.66249967,-0.0025660926,0.017088467,5.4404263e-05,-0.0035775553,0.01828672,0.00093684887
2021-05-01 05:40:00,-0.42778635,0.0024484654,-0.011244646,-0.013059258,-0.67435443,-0.0022978105,0.017028825,0.0001247726,-0.003875316,0.018393049,0.00062094076
2021-05-01 05:45:00,-0.43791965,0.0030502737,-0.007804392,-0.012216255,-0.6713684,-0.0021658342,0.019629417,-0.001569582,-0.0034797331,0.008499437,0.0007558526
2021-05-01 05:50:00,-0.4385717,0.0030502737,-0.00716787,-0.012391947,-0.67609835,-0.0021640204,0.01963546,-0.0015696032,-0.0034797331,0.008499437,0.0007555653
2021-05-01 05:55:00,-0.43883395,0.0032150734,-0.005935712,-0.011032602,-0.67502064,-0.0023244137,0.019670112,-0.0015758687,-0.0034379838,0.008464804,0.0008567413
2021-05-01 06:00:00,-0.44331923,0.0064141112,-0.008327908,-0.016896471,-0.6759716,-0.0020961482,0.01679593,-0.00025179848,-0.00390706,0.017073143,0.003492072
2021-05-01 06:05:00,-0.44402742,0.006416867,-0.00552252,-0.015356888,-0.6656385,-0.0023900298,0.016818596,-0.00030125224,-0.0038349924,0.017178848,0.0035829416
2021-05-01 06:10:00,-0.43193933,0.007799548,-0.013604748,-0.015957884,-0.6772484,-0.002834134,0.017113728,-0.00028091023,-0.0037914596,0.017226966,0.0030677384
2021-05-01 06:15:00,-0.44561127,0.007294083,-0.008399173,-0.016233178,-0.6717248,-0.0022088294,0.017100839,-0.0012524076,-0.00401364,0.017393483,0.0029840046
2021-05-01 06:20:00,-0.44736704,0.0052070282,-0.008373654,-0.013702548,-0.67728984,-0.002395994,0.016980162,-0.0013450155,-0.0048624203,0.017126648,0.0030366653
2021-05-01 06:25:00,-0.44826898,0.0052386974,-0.007688925,-0.015250532,-0.67879903,-0.0024281521,0.016953496,-0.0014720917,-0.0048282454,0.017294059,0.0031403466
2021-05-01 06:30:00,-0.44862142,0.005199376,-0.008284749,-0.013942385,-0.6787401,-0.002411532,0.016975477,-0.0013452388,-0.0048624203,0.01761615,0.0032809535
2021-05-01 06:35:00,-0.44823405,0.005155391,-0.010060294,-0.015881415,-0.68005437,-0.002266989,0.016723959,-0.001284635,-0.005015443,0.01733767,0.0032256786
2021-05-01 06:40:00,-0.44963115,0.005005008,-0.0073511475,-0.015287671,-0.679899,-0.0018900508,0.016961714,-0.0013413526,-0.0040899995,0.017623095,0.0032838308
2021-05-01 06:45:00,-0.4522439,0.004768265,-0.009319455,-0.0150132915,-0.68117595,-0.0020849844,0.016914206,-5.7261197e-05,-0.0040613613,0.016673869,0.00073825056
2021-05-01 06:50:00,-0.44949803,-0.00063606387,-0.0084247645,-0.017086009,-0.67947876,-0.0019465949,0.017110145,-0.0007658445,-0.0032858232,0.020673892,0.0021465158
2021-05-01 06:55:00,-0.42408794,0.00011579926,-0.012568041,-0.017809274,-0.6862004,2.2928914e-05,0.016833356,-4.1585852e-05,-0.0037966622,0.018830197,0.0014121598
2021-05-01 07:00:00,-0.45125955,0.0066863857,-0.010730502,-0.015809067,-0.6804303,-0.0028241784,0.016739838,-8.419136e-05,-0.0042897766,0.016732862,0.0009090669
2021-05-01 07:05:00,-0.45027053,0.0062859613,-0.009513804,-0.015721982,-0.680741,-0.0025670982,0.01701462,-6.755604e-05,-0.004122566,0.016727343,0.00089580426
2021-05-01 07:10:00,-0.44826123,0.0055015855,-0.010399545,-0.015584121,-0.68041486,-0.0030855886,0.016777033,-6.123601e-05,-0.0049044103,0.01656833,0.0010679433
