Model,ROC-AUC,PR-AUC,F1,Precision,Recall
All SHAP (176),0.8779395683915996,0.3488974463823645,0.5294117647058824,0.627906976744186,0.4576271186440678
Mean |SHAP| (11),0.5383028334351783,0.00916186984676776,0.023529411764705882,0.038461538461538464,0.01694915254237288
Rashomon σ (12),0.5053597272698035,0.006196760299178001,0.013201320132013201,0.00819672131147541,0.03389830508474576
Mean + Rashomon (23),0.511010516836587,0.007067741799354271,0.012866333095067906,0.006716417910447761,0.15254237288135594
All Combined (188),0.8883478596468658,0.0761047116098156,0.19636363636363635,0.125,0.4576271186440678
