Model,Features,ROC-AUC,PR-AUC,F1,Precision,Recall,TP,FP,FN
SHAP Only,14,0.8424830347666677,0.4821133229471574,0.6067415730337079,0.9,0.4576271186440678,27,3,32
Uncertainty Only,12,0.759915415045187,0.015676996078168637,0.041044776119402986,0.02130406714009038,0.559322033898305,33,1516,26
SHAP + Uncertainty,26,0.8410076222944071,0.3391435616769118,0.4444444444444444,0.6451612903225806,0.3389830508474576,20,11,39
