,TS1,TS10,TS11,TS12,TS2,TS3,TS4,TS5,TS6,TS7,TS8,TS9
TS1,1.0,-0.11767962548529406,-0.15364003669029858,-0.12545331789270275,0.8996453659370206,-0.1611938115478194,0.1757395151786036,0.6921737081075153,0.7865176459978661,-0.04127802243228627,-0.06240093436428319,0.06581002460972563
TS10,-0.11767962548529406,1.0,-0.11191984213674522,-0.1819783915982781,-0.046173014858682096,0.05659020646715475,0.05548599285458818,-0.014228642710946416,-0.10759340348752622,0.24354921315155442,0.19723769356670834,0.4530825460884669
TS11,-0.15364003669029858,-0.11191984213674522,1.0,0.9616785868244547,-0.0024948285314012144,-0.07918065021956708,-0.12842406585965846,-0.05881690080564817,-0.15032869787677133,0.30952737052963303,0.43254002771763533,0.2380055848543358
TS12,-0.12545331789270275,-0.1819783915982781,0.9616785868244547,1.0,0.03979630395035526,-0.10505773880895952,-0.12449430282985484,-0.02451998775887168,-0.11913779381244895,0.3177922443306054,0.4418963078500964,0.2224509523345888
TS2,0.8996453659370206,-0.046173014858682096,-0.0024948285314012144,0.03979630395035526,1.0,-0.17622920997644945,0.21727908337159196,0.721094179671286,0.7673934891354526,0.1255217551867388,0.12810407781865357,0.13794643359977443
TS3,-0.1611938115478194,0.05659020646715475,-0.07918065021956708,-0.10505773880895952,-0.17622920997644945,1.0,0.11882767346458659,-0.1322676654559464,-0.12480161130875808,0.08604379213468967,0.0756715214042791,-0.13332817435073105
TS4,0.1757395151786036,0.05548599285458818,-0.12842406585965846,-0.12449430282985484,0.21727908337159196,0.11882767346458659,1.0,0.22371761536635895,0.2348114660746183,0.05449642540445341,-0.021155802296571824,-0.10150033733078602
TS5,0.6921737081075153,-0.014228642710946416,-0.05881690080564817,-0.02451998775887168,0.721094179671286,-0.1322676654559464,0.22371761536635895,1.0,0.7852975123750402,0.08215819288663956,0.03721910874283815,0.18388358756598117
TS6,0.7865176459978661,-0.10759340348752622,-0.15032869787677133,-0.11913779381244895,0.7673934891354526,-0.12480161130875808,0.2348114660746183,0.7852975123750402,1.0,0.03666507373162536,-0.013059086562848578,0.04950568016430562
TS7,-0.04127802243228627,0.24354921315155442,0.30952737052963303,0.3177922443306054,0.1255217551867388,0.08604379213468967,0.05449642540445341,0.08215819288663956,0.03666507373162536,1.0,0.9105595290877418,0.21849024219683108
TS8,-0.06240093436428319,0.19723769356670834,0.43254002771763533,0.4418963078500964,0.12810407781865357,0.0756715214042791,-0.021155802296571824,0.03721910874283815,-0.013059086562848578,0.9105595290877418,1.0,0.2528518338389381
TS9,0.06581002460972563,0.4530825460884669,0.2380055848543358,0.2224509523345888,0.13794643359977443,-0.13332817435073105,-0.10150033733078602,0.18388358756598117,0.04950568016430562,0.21849024219683108,0.2528518338389381,1.0
