model,surrogate_r2,model_r2
GBM,0.9986777767771662,0.9804740405983657
DRF,0.998065381902164,0.9812578189198075
XRT,0.9982139524952504,0.9812364234547813
DeepLearning,0.9994049132498204,0.9746363326010835
GLM,0.9992578514137954,0.9528287792570492
