model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_1_20260421_111948_model_2,0.1056151665256998,0.0111545634002513,0.0708865817827358,,0.0111545634002513
GBM_4_AutoML_1_20260421_111948,0.1060093602330032,0.0112379844570106,0.0714760431106723,,0.0112379844570106
GBM_3_AutoML_1_20260421_111948,0.1066846533846425,0.0113816152678013,0.0720638044579515,,0.0113816152678013
GBM_5_AutoML_1_20260421_111948,0.1084309675631818,0.0117572747266877,0.0736393015145966,,0.0117572747266877
GBM_1_AutoML_1_20260421_111948,0.1085082571212322,0.0117740418634874,0.0733435129991943,,0.0117740418634874
GBM_2_AutoML_1_20260421_111948,0.1086810190745765,0.0118115639070884,0.0737063014653359,,0.0118115639070884
DRF_1_AutoML_1_20260421_111948,0.1099572758536639,0.0120906025131587,0.0739797159061246,,0.0120906025131587
XRT_1_AutoML_1_20260421_111948,0.1100128197487801,0.0121028205090775,0.0741754803334943,,0.0121028205090775
GBM_grid_1_AutoML_1_20260421_111948_model_1,0.1114102448700691,0.0124122426620087,0.0752864260290684,,0.0124122426620087
DeepLearning_1_AutoML_1_20260421_111948,0.1453530517223396,0.0211275096449971,0.1009091485084314,,0.0211275096449971
GLM_1_AutoML_1_20260421_111948,0.2309420734925975,0.0533342413090603,0.1590762335982614,,0.0533342413090603
