time,TS1_lag_1,TS1_lag_2,TS1_diff_1,TS1_ewm_12,TS2,TS1_rmax_12,TS6,TS1_diff_12,TS1_lag_3,TS2_lag_1
2021-05-01 00:00:00,0.4165938794612884,0.1252108365297317,0.1563745141029358,0.0473314970731735,-0.0169855393469333,0.0219138972461223,0.0128286639228463,-0.00019096978940069675,0.010688710026443,0.0051647461950778
2021-05-01 00:05:00,0.5357418060302734,0.1287576407194137,-0.146183431148529,0.044900856912136,-0.0233657360076904,0.0219005197286605,0.0048764054663479,-0.0237163621932268,0.010857006534934,0.0020782283972948
2021-05-01 00:10:00,0.3687178790569305,0.1302387118339538,0.2791817784309387,0.0532434992492198,-0.0092934286221861,0.0250723101198673,0.0002180944284191355,0.000529706827364862,0.0021187628153711,0.0025670549366623
2021-05-01 00:15:00,0.5878428816795349,0.1330092698335647,-0.1121042445302009,0.0463966205716133,-0.0306389685720205,0.0246100649237632,0.0124977556988596,-0.0127696329727768,0.0107763605192303,0.0050815124996006
2021-05-01 00:20:00,0.4545263051986694,0.1088626161217689,-0.1286754161119461,0.0430579707026481,-0.0480099022388458,0.0211268216371536,-0.0017874606419354,-0.0208125486969947,0.0087227858603,0.0007342851022258401
2021-05-01 00:25:00,0.3329198360443115,0.1279898136854171,-0.0743513405323028,0.0434806235134601,-0.0269496589899063,0.0210576858371496,0.001729994546622,-0.0225972644984722,0.0090210577473044,-0.0008855052874423563
2021-05-01 00:30:00,0.2604085803031921,0.0940164551138877,0.0157051943242549,0.0429913364350795,-0.0251131728291511,0.0184603817760944,0.0048623993061482,-0.0209979284554719,0.0099645024165511,-0.0030736844055354
2021-05-01 00:35:00,0.2598741054534912,0.0972091555595398,-0.0307243857532739,0.0401048474013805,-0.027283988893032,0.0175150725990533,0.0007555769407190382,-0.0207245722413063,0.0079589337110519,-0.0024658327456563
2021-05-01 00:40:00,0.2548867166042328,0.0917711853981018,0.0451533012092113,0.0401402674615383,-0.0240125451236963,0.0186724662780761,0.0005223013577051461,-0.0111743817105889,0.0092727923765778,0.0005122203147038817
2021-05-01 00:45:00,0.260938435792923,0.0967860296368599,-0.0559683553874492,0.0380996465682983,-0.027393190190196,0.0173640307039022,-0.0019582661334425,-0.0221057590097188,0.0067728566937148,-0.0017455896595492
2021-05-01 00:50:00,0.1925823241472244,0.0919208824634552,-0.0913597643375396,0.0372141227126121,-0.0276376046240329,0.0174552332609891,0.0006099774036556482,-0.0231097042560577,0.0057992888614535,0.0026864495594054
2021-05-01 00:55:00,0.1094703897833824,0.0802761688828468,0.0154547337442636,0.034759659320116,-0.0279352031648159,0.0173416323959827,0.00031552358996123075,-0.0107538513839244,0.0062304455786943,0.002430165419355
2021-05-01 01:00:00,0.1002191975712776,0.069365382194519,-0.149953231215477,0.0357627049088478,-0.0380212441086769,0.0160042978823184,9.083135228138416e-05,-0.0262088496237993,0.0052935061976313,0.0015703975223004
2021-05-01 01:05:00,-0.1161291301250457,0.1014078333973884,-0.0870870053768158,0.0349531173706054,-0.0290765464305877,0.0194347891956567,-0.0004451196291483938,-0.0171024240553379,0.0067350268363952,0.0048683229833841
2021-05-01 01:10:00,-0.0813191160559654,-0.0587027519941329,0.1184703782200813,0.0581045858561992,-0.0332304611802101,0.0278135724365711,-0.0001616835652384907,-0.0291209779679775,0.0084187071770429,-2.5797169655561447e-05
2021-05-01 01:15:00,0.0256958361715078,-0.0561366416513919,-0.0374584905803203,0.0584554374217987,-0.0404108054935932,0.0197160020470619,-0.0002361710648983717,-0.0215285625308752,-0.0058001670986413,-0.0053732157684862
2021-05-01 01:20:00,-0.0180859118700027,-0.0573053508996963,-0.0196044482290744,0.0565079040825367,-0.0364500097930431,0.0172150302678346,-0.00035000129719264805,-0.0144903371110558,-0.0066253882832825,-0.0030444366857409
